timestamp,datetime,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1760885100000,2025-10-19T11:45:00,108249.91,108499.7,108187.04,108405.47,330.47083,1760885999999,35786001.1638717,39182,85.9972,9318164.4576179
1760886000000,2025-10-19T12:00:00,108405.47,108570.01,108372.41,108499.03,221.76326,1760886899999,24058269.0870673,54460,136.24422,14781218.9186692
1760886900000,2025-10-19T12:15:00,108499.02,108621.68,108393.0,108472.72,205.24492,1760887799999,22271580.6722672,43702,85.69377,9298657.4445428
1760887800000,2025-10-19T12:30:00,108472.72,108511.45,108328.25,108364.76,79.27022,1760888699999,8593633.265123,32004,39.24456,4254627.8609465
1760888700000,2025-10-19T12:45:00,108364.76,108486.71,108364.76,108486.7,44.52746,1760889599999,4827878.5301907,17788,27.96517,3032082.9789454
1760889600000,2025-10-19T13:00:00,108486.71,108521.44,108310.0,108340.96,67.36118,1760890499999,7300823.2215533,21457,20.6527,2238292.1001209
1760890500000,2025-10-19T13:15:00,108340.96,108373.12,108240.0,108346.07,86.45673,1760891399999,9364874.1742972,20186,22.74837,2463882.5008193
1760891400000,2025-10-19T13:30:00,108346.08,108988.27,108264.0,108904.55,263.45498,1760892299999,28638510.855885,42240,218.60182,23767065.4555985
1760892300000,2025-10-19T13:45:00,108904.55,108949.95,108593.27,108624.19,328.72991,1760893199999,35755458.1546314,41763,171.21978,18625084.2314286
1760893200000,2025-10-19T14:00:00,108624.19,109167.78,108615.2,109130.61,203.96804,1760894099999,22214536.0633028,52179,140.69257,15324286.9825118
1760894100000,2025-10-19T14:15:00,109130.61,109437.43,109004.94,109056.57,426.35146,1760894999999,46559649.1228946,69133,218.29457,23836320.0853
1760895000000,2025-10-19T14:30:00,109056.56,109250.0,109019.28,109154.38,123.98888,1760895899999,13531488.3274648,29823,65.67678,7168008.4635843
